compileDebugKotlin,,,,,,,,,,,,
,,,,,,,,,,,,
type,Build 1,Build 2,Build 3,Build 4,Build 5,Build 6,Build 7,Build 8,Build 9,Build 10,AVG,MEDIAN
compose,"1,951","1,695","1,399","1,514","1,184","1,327","1,121","1,094","1,016","0,973","1,3274","1,327"
view,"0,862","0,683","0,705","0,667","0,684","0,731","0,683","0,718","0,652","0,698","0,7083","0,698"
,,,,,,,,,,,,
Task Execution,,,,,,,,,,,,
,,,,,,,,,,,,
type,Build 1,Build 2,Build 3,Build 4,Build 5,Build 6,Build 7,Build 8,Build 9,Build 10,AVG,MEDIAN
compose,"8,103","6,937","6,071","6,302","5,865","6,372","5,432","5,883","5,501","5,428","6,1894","6,071"
view,"5,683","5,459","5,558","5,294","5,462","5,572","5,496","5,781","5,283","5,941","5,5529","5,5529"
,,,,,,,,,,,,
Total Build Time,,,,,,,,,,,,
,,,,,,,,,,,,
type,Build 1,Build 2,Build 3,Build 4,Build 5,Build 6,Build 7,Build 8,Build 9,Build 10,AVG,MEDIAN
compose,"5,946","4,799","4,241","4,343","4,071","4,743","3,777","4,001","3,754","3,77","4,3445","4,241"
view,"4,22","4,181","4,167","4,066","4,157","4,156","4,362","4,501","3,96","4,499","4,2269","4,181"
